Zone,Price,Weight,Service
5,$5.81 ,15,DHL SmartMail Parcel Expedited
5,$5.90 ,16,DHL SmartMail Parcel Expedited
6,$3.86 ,1,DHL SmartMail Parcel Expedited
6,$3.93 ,2,DHL SmartMail Parcel Expedited
6,$4.04 ,3,DHL SmartMail Parcel Expedited
6,$4.14 ,4,DHL SmartMail Parcel Expedited
6,$4.40 ,5,DHL SmartMail Parcel Expedited
6,$4.50 ,6,DHL SmartMail Parcel Expedited
6,$4.61 ,7,DHL SmartMail Parcel Expedited
6,$4.69 ,8,DHL SmartMail Parcel Expedited
6,$5.06 ,9,DHL SmartMail Parcel Expedited
6,$5.14 ,10,DHL SmartMail Parcel Expedited
6,$5.24 ,11,DHL SmartMail Parcel Expedited
6,$5.36 ,12,DHL SmartMail Parcel Expedited
6,$5.77 ,13,DHL SmartMail Parcel Expedited
6,$5.88 ,14,DHL SmartMail Parcel Expedited
6,$5.98 ,15,DHL SmartMail Parcel Expedited
6,$6.08 ,16,DHL SmartMail Parcel Expedited
7,$3.88 ,1,DHL SmartMail Parcel Expedited
7,$3.99 ,2,DHL SmartMail Parcel Expedited
7,$4.12 ,3,DHL SmartMail Parcel Expedited
7,$4.24 ,4,DHL SmartMail Parcel Expedited
7,$4.52 ,5,DHL SmartMail Parcel Expedited
7,$4.64 ,6,DHL SmartMail Parcel Expedited
7,$4.78 ,7,DHL SmartMail Parcel Expedited
7,$4.89 ,8,DHL SmartMail Parcel Expedited
7,$5.28 ,9,DHL SmartMail Parcel Expedited
7,$5.39 ,10,DHL SmartMail Parcel Expedited
7,$5.52 ,11,DHL SmartMail Parcel Expedited
7,$5.64 ,12,DHL SmartMail Parcel Expedited
7,$6.10 ,13,DHL SmartMail Parcel Expedited
7,$6.22 ,14,DHL SmartMail Parcel Expedited
7,$6.34 ,15,DHL SmartMail Parcel Expedited
7,$6.47 ,16,DHL SmartMail Parcel Expedited
8,$3.89 ,1,DHL SmartMail Parcel Expedited
8,$4.02 ,2,DHL SmartMail Parcel Expedited
8,$4.16 ,3,DHL SmartMail Parcel Expedited
8,$4.29 ,4,DHL SmartMail Parcel Expedited
8,$4.59 ,5,DHL SmartMail Parcel Expedited
8,$4.72 ,6,DHL SmartMail Parcel Expedited
8,$4.87 ,7,DHL SmartMail Parcel Expedited
8,$5.00 ,8,DHL SmartMail Parcel Expedited
8,$5.39 ,9,DHL SmartMail Parcel Expedited
8,$5.52 ,10,DHL SmartMail Parcel Expedited
8,$5.67 ,11,DHL SmartMail Parcel Expedited
8,$5.81 ,12,DHL SmartMail Parcel Expedited
8,$6.27 ,13,DHL SmartMail Parcel Expedited
8,$6.40 ,14,DHL SmartMail Parcel Expedited
8,$6.54 ,15,DHL SmartMail Parcel Expedited
8,$6.69 ,16,DHL SmartMail Parcel Expedited
